Comment,Designator,Footprint,LCSC,Quantity
0.1,"C1,C11,C12,C13,C14,C3,C5,C6,C7,C9",C_0603_1608Metric,C14663,10
1,"C10,C4",C_0603_1608Metric,C15849,2
