Comment,Designator,Footprint,LCSC,Quantity
100,R2,R_0603_1608Metric,C22775,1
50K,R1,R_0603_1608Metric,C23184,1
Conn_01x05_Socket,J2,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,1
